name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
Apple iPhone Xs Max 64GB Space Gray,1173.9,Yes ,No,3200,No ,,Yes ,64,Yes ,Yes ,3,iOS ,2,6,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,,xs max
iPhone 11 Pro - Midnight Green,1900,Yes ,No,3100,No ,,Yes ,64,Yes ,No ,3,iOS ,12,4,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,1,,11 pro
iphone x 2 cali axlebi 256gb,1150,Yes ,Yes,4400,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,1,iOS ,12,4,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2022 Y.,IOS 15 ,1,IP6x ,x
Iphone 12 Pro Max Pacific Blue,3150,Yes ,No,3700,Yes ,,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.67,One SIM ,Nano-SIM ,,,2020 Y.,,1,,12 pro
"IPhone XS Max 64 GB -1 წლიანი გარანტიით, განვადებით",1899,Yes ,No,2400,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,7,IP5x ,xs max
"IPhone 11 ProMax 64 GB - 1 წლიანი გარანტიით , განვადებით",2799,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 13 ,12,IP6x ,11
"IPhone X 64GB -1 წლიანი გარანტიით , განავდებით",1399,Yes ,No,1500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,64,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,3,IP5x ,x
"IPhone SE 2020 64GB - 1 წლიანი გარანტიით, განვადებით",1049,Yes ,No,1800,Yes ,LCD TFT ,Yes ,128,Yes ,Yes ,2,iOS ,12,3,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,iOS 14 ,7,IP5x ,se
"IPhone 12 64GB -1 წლიანი გარანტიით,განვადებით",2399,Yes ,No,2800,Yes ,LCD TFT ,Yes ,64,Yes ,No ,2,iOS ,12,4,6.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,iOS 14 ,12,IPx8 ,12
"IPhone 11 64GB -1 წლიანი გარანტიით, განვადებით",1799,Yes ,No,3100,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,IP5x ,11
iPhone 11 pro max,2200,Yes ,Yes,3100,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,IPx6 ,11 pro
Iphone X,1050,Yes ,Yes,1500,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,Android ,2,12,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,Froyo (2.2–2.2.3) ,1,MIL-STD-810D ,x
Iphone 12 Pro,3000,Yes ,Yes,4400,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,13,,12 pro
IPHONE 12 PRO 128BG,3100,Yes ,Yes,3000,No ,,Yes ,128,Yes ,Yes ,3,iOS ,1,4,6,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,1,,12 pro
iPhone 8,800,No ,No,1900,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,4.7,One SIM ,Micro-SIM ,No ,Yes ,,,1,,8
iPhone 8+,1150,No ,No,2700,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,5.5,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,,1,,8+
Iphone 7 32 GB გარანტიით!,400,Yes ,No,1800,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,32,4,5,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,iOS 14 ,20,IPx8 ,7
