,name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
0,Apple iPhone Xs Max 64GB Space Gray,1173.9,Yes ,No,3200,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,2,6.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,xs max
1,iPhone 11 Pro - Midnight Green,1900.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,No ,3,iOS ,12,4.0,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
2,iphone x 2 cali axlebi 256gb,1150.0,Yes ,Yes,4400,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,1,iOS ,12,4.0,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2022 Y.,1,x
3,Iphone 12 Pro Max Pacific Blue,3150.0,Yes ,No,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.67,One SIM ,Nano-SIM ,,,2020 Y.,1,12 pro
4,"IPhone XS Max 64 GB -1 წლიანი გარანტიით, განვადებით",1899.0,Yes ,No,2400,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs max
5,"IPhone 11 ProMax 64 GB - 1 წლიანი გარანტიით , განვადებით",2799.0,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
6,"IPhone X 64GB -1 წლიანი გარანტიით , განავდებით",1399.0,Yes ,No,1500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,64,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,3,x
7,"IPhone SE 2020 64GB - 1 წლიანი გარანტიით, განვადებით",1049.0,Yes ,No,1800,Yes ,LCD TFT ,Yes ,128,Yes ,Yes ,2,iOS ,12,3.0,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
8,"IPhone 12 64GB -1 წლიანი გარანტიით,განვადებით",2399.0,Yes ,No,2800,Yes ,LCD TFT ,Yes ,64,Yes ,No ,2,iOS ,12,4.0,6.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,12,12
9,"IPhone 11 64GB -1 წლიანი გარანტიით, განვადებით",1799.0,Yes ,No,3100,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11
10,iPhone 11 pro max,2200.0,Yes ,Yes,3100,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,11 pro
