name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate
saswrafod sasachuqre iphone x 64 gb black,1000.00,Yes Capacitors type,Yes,3000 Capacitors type,Yes Capacitors type,LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,3 GB Capacitors type,6.5 Inch,One SIM Capacitors type,Micro-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2018 Y.,,,
Saswrafod iphone 8 gold,550.00,Yes Capacitors type,Yes,2000 Capacitors type,Yes Capacitors type,LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Micro-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2020 Y.,,,
Apple iPhone Xs Max 64GB Space Gray,1173.90,Yes Capacitors type,No,3200 Capacitors type,No Capacitors type,,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,2 MP,6 GB Capacitors type,6.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,IOS 15 Capacitors type,1 MP,
iPhone 11 Pro - Midnight Green,1900.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,,Yes Capacitors type,64 GB,Yes Capacitors type,No Capacitors type,Three,iOS Capacitors type,12 MP,,5.9 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,,1 MP,
iphone x 2 cali axlebi 256gb,1150.00,Yes Capacitors type,Yes,4400 Capacitors type,Yes Capacitors type,AMOLED Capacitors type,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,4 GB Capacitors type,4.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2022 Y.,IOS 15 Capacitors type,1 MP,IP6x Capacitors type
Iphone 12 Pro Max Pacific Blue,3150.00,Yes Capacitors type,No,3700 Capacitors type,,,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,12 MP,6 GB Capacitors type,6.67 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,,,2020 Y.,,1 MP,
ფაქტიურად ახალი .,2000.00,Yes Capacitors type,Yes,4900 Capacitors type,Yes Capacitors type,AMOLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,,12 GB Capacitors type,3.5 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2020 Y.,,13 MP,IP5x Capacitors type
"IPhone XS Max 64 GB -1 წლიანი გარანტიით, განვადებით",1899.00,Yes Capacitors type,No,2400 Capacitors type,Yes Capacitors type,Dynamic AMOLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,12 MP,4 GB Capacitors type,6.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2018 Y.,iOS 14 Capacitors type,7 MP,IP5x Capacitors type
"IPhone 11 ProMax 64 GB - 1 წლიანი გარანტიით , განვადებით",2799.00,Yes Capacitors type,No,3900 Capacitors type,No Capacitors type,Dynamic AMOLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 13 Capacitors type,12 MP,IP6x Capacitors type
"IPhone X 64GB -1 წლიანი გარანტიით , განავდებით",1399.00,Yes Capacitors type,No,1500 Capacitors type,Yes Capacitors type,Dynamic AMOLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,64 MP,3 GB Capacitors type,5.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,3 MP,IP5x Capacitors type
